ds,y,unique_id
1100,849.9,platinum
1101,843.85,platinum
1102,846.35,platinum
1103,833.7,platinum
1104,850.9,platinum
1105,851.8,platinum
1106,862.8,platinum
1107,926.85,platinum
1108,962.4,platinum
1109,949.55,platinum
1110,955.35,platinum
1111,966.15,platinum
1112,995.9,platinum
1113,987.65,platinum
1114,959.35,platinum
1115,920.55,platinum
1116,919.7,platinum
1117,922.0,platinum
1118,938.0,platinum
1119,961.0,platinum
1120,994.9,platinum
1121,1020.8,platinum
1122,977.4,platinum
1123,983.65,platinum
1124,1009.4,platinum
1125,978.4,platinum
1126,966.1,platinum
1127,989.9,platinum
1128,965.8,platinum
1129,959.1,platinum
1130,974.5,platinum
1131,982.1,platinum
1132,962.7,platinum
1133,933.7,platinum
1134,932.8,platinum
1135,925.0,platinum
1136,931.7,platinum
1137,941.4,platinum
1138,947.3,platinum
1139,930.1,platinum
1140,949.1,platinum
1141,946.7,platinum
1142,947.4,platinum
1143,961.4,platinum
1144,912.3,platinum
1145,897.0,platinum
1146,905.3,platinum
1147,903.0,platinum
1148,912.35,platinum
1149,917.5,platinum
1150,930.7,platinum
1151,947.2,platinum
1152,946.0,platinum
1153,939.45,platinum
1154,965.4,platinum
1155,989.1,platinum
1156,980.4,platinum
1157,938.7,platinum
1158,946.1,platinum
1159,933.65,platinum
1160,884.7,platinum
1161,866.2,platinum
1162,850.8,platinum
1163,845.3,platinum
1164,849.2,platinum
1165,855.85,platinum
1166,888.2,platinum
1167,897.7,platinum
1168,909.2,platinum
1169,906.0,platinum
1170,891.4,platinum
1171,893.05,platinum
1172,904.7,platinum
1173,870.3,platinum
1174,866.8,platinum
1175,864.0,platinum
1176,894.3,platinum
1177,891.65,platinum
1178,876.3,platinum
1179,873.3,platinum
1180,863.4,platinum
1181,861.3,platinum
1182,869.3,platinum
1183,867.45,platinum
1184,863.5,platinum
1185,877.3,platinum
1186,893.9,platinum
1187,884.0,platinum
1188,906.7,platinum
1189,903.15,platinum
1190,877.4,platinum
1191,886.8,platinum
1192,875.0,platinum
1193,853.8,platinum
1194,852.4,platinum
1195,841.25,platinum
1196,863.3,platinum
1197,877.8,platinum
1198,873.2,platinum
1199,902.8,platinum
1200,902.8,platinum
1201,906.0,platinum
1202,870.4,platinum
1203,896.3,platinum
1204,871.8,platinum
1205,887.6,platinum
1206,900.0,platinum
1207,896.55,platinum
1208,931.3,platinum
1209,940.8,platinum
1210,953.7,platinum
1211,954.5,platinum
1212,961.1,platinum
1213,952.95,platinum
1214,935.9,platinum
1215,962.8,platinum
1216,971.3,platinum
1217,965.05,platinum
1218,970.3,platinum
1219,971.05,platinum
1220,970.5,platinum
1221,1008.3,platinum
1222,1016.1,platinum
1223,1042.0,platinum
1224,1076.4,platinum
1225,1059.15,platinum
1226,1053.5,platinum
1227,1041.0,platinum
1228,1022.4,platinum
1229,1031.7,platinum
1230,1026.3,platinum
1231,1025.55,platinum
1232,1020.2,platinum
1233,1044.1,platinum
1234,1040.7,platinum
1235,1055.8,platinum
1236,1049.0,platinum
1237,1044.5,platinum
1238,1021.7,platinum
1239,1015.8,platinum
1240,1023.9,platinum
1241,1035.0,platinum
1242,1047.2,platinum
1243,1049.1,platinum
1244,1060.7,platinum
1245,1078.5,platinum
1246,1079.2,platinum
1247,1079.5,platinum
1248,1091.1,platinum
1249,1071.5,platinum
1250,1119.6,platinum
1251,1110.2,platinum
1252,1124.6,platinum
1253,1071.3,platinum
1254,1055.8,platinum
1255,1044.6,platinum
1256,1067.8,platinum
1257,1110.7,platinum
1258,1126.4,platinum
1259,1089.9,platinum
1260,1072.3,platinum
1261,1098.1,platinum
1262,1092.0,platinum
1263,1116.4,platinum
1264,1128.0,platinum
1265,1111.6,platinum
1266,1112.35,platinum
1267,1104.7,platinum
1268,1107.4,platinum
1269,1079.0,platinum
1270,1076.5,platinum
1271,1083.4,platinum
1272,1098.1,platinum
1273,1140.3,platinum
1274,1097.8,platinum
1275,1116.9,platinum
1276,1105.2,platinum
1277,1136.1,platinum
1278,1145.4,platinum
1279,1177.3,platinum
1280,1196.6,platinum
1281,1249.7,platinum
1282,1249.8,platinum
1283,1261.5,platinum
1284,1271.45,platinum
1285,1318.75,platinum
1286,1282.9,platinum
1287,1261.4,platinum
1288,1278.3,platinum
1289,1297.1,platinum
1290,1297.6,platinum
1291,1286.4,platinum
1292,1244.1,platinum
1293,1259.2,platinum
1294,1235.7,platinum
1295,1189.3,platinum
1296,1205.25,platinum
1297,1195.1,platinum
1298,1218.6,platinum
1299,1186.6,platinum
1300,1139.9,platinum
1301,1132.9,platinum
1302,1142.45,platinum
1303,1156.6,platinum
1304,1180.0,platinum
1305,1206.6,platinum
1306,1207.0,platinum
1307,1204.4,platinum
1308,1206.8,platinum
1309,1213.9,platinum
1310,1223.4,platinum
1311,1203.6,platinum
1312,1221.6,platinum
1313,1204.1,platinum
1314,1188.0,platinum
1315,1188.1,platinum
1316,1178.8,platinum
1317,1184.8,platinum
1318,1158.5,platinum
1319,1181.7,platinum
1320,1190.5,platinum
1321,1183.4,platinum
1322,1160.6,platinum
1323,1191.5,platinum
1324,1208.6,platinum
1325,1220.9,platinum
1326,1209.8,platinum
1327,1240.5,platinum
1328,1231.9,platinum
1329,1235.4,platinum
1330,1209.3,platinum
1331,1207.4,platinum
1332,1174.8,platinum
1333,1157.1,platinum
1334,1177.4,platinum
1335,1200.2,platinum
1336,1208.7,platinum
1337,1205.35,platinum
1338,1206.5,platinum
1339,1196.3,platinum
1340,1214.7,platinum
